No,Category,Feature_Name,English_Name,Physical_Interpretation
1,Time-Domain Statistical,均值,Mean,Signal DC component; reflects static bias
2,Time-Domain Statistical,标准差,Standard Deviation,Signal fluctuation amplitude
3,Time-Domain Statistical,方差,Variance,Signal power / energy dispersion
4,Time-Domain Statistical,最小值,Min,Signal lower bound
5,Time-Domain Statistical,最大值,Max,Signal upper bound
6,Time-Domain Statistical,极差,Range (Max-Min),Signal dynamic range
7,Time-Domain Statistical,中位数,Median,Central tendency (robust to outliers)
8,Time-Domain Statistical,偏度,Skewness,Amplitude distribution asymmetry; reflects impact direction
9,Time-Domain Statistical,峭度,Kurtosis,Amplitude distribution peakedness; sensitive to impulse/transient faults
10,Time-Domain Statistical,均方根值,RMS,Effective signal value; directly reflects vibration energy
11,Time-Domain Statistical,总能量,Energy (sum of x^2),Total signal energy
12,Time-Domain Statistical,平均功率,Power (Energy/N),Energy per unit time
13,Time-Domain Statistical,峰峰值,Peak-to-Peak,Maximum amplitude swing; sensitive to mechanical looseness
14,Time-Domain Statistical,波峰因子,Crest Factor (Max/RMS),Detects impulsive faults (e.g. brush sparking)
15,Time-Domain Statistical,波形因子,Form Factor (RMS/Mean|x|),Waveform shape descriptor
16,Time-Domain Statistical,过零率,Zero-Crossing Rate,Rough estimate of signal frequency
17,Hjorth Parameters,Hjorth Activity,Hjorth Activity,Signal variance; characterizes signal activity level
18,Hjorth Parameters,Hjorth Mobility,Hjorth Mobility,Std(1st derivative)/Std(signal); characterizes dominant frequency
19,Hjorth Parameters,Hjorth Complexity,Hjorth Complexity,Waveform complexity; normal signals are regular while faulty signals are complex
20,Nonlinear and Subwindow,样本熵,Sample Entropy,Signal regularity and complexity measure
21,Nonlinear and Subwindow,排列熵,Permutation Entropy,Ordinal pattern-based complexity measure
22,Nonlinear and Subwindow,子窗口RMS最大值,Subwindow RMS Max,Captures transient burst events (local RMS maximum)
23,Nonlinear and Subwindow,子窗口峭度最大值,Subwindow Kurtosis Max,Captures transient burst events (local kurtosis maximum)
